Workflow ID,APE version,Has bug,Question,Constraint,Ontology,Workflow length,Signature error,Semantic imprecision error,Redundancy error,Data quality error,Correct answer?,Notes,Workflow description
1.F.01,0.9.1,0.00,1.00,,Full,1.00,0.00,0.00,0.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) LatticeVectorA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinCountTess(Tool1) CountALatticeVectorAERA(MemT1.0) [MemT1.0] <- (UsedT1.0) CountALatticeVectorAERA(UsedT1.0)
1.F.02,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"Assuming the sport facilities are separated enough, the answer is still correct and without loss of quality",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectPointToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ExistenceRasterToObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectPoint(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.03,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"Assuming the sport facilities are separated enough, the answer is still correct and without loss of quality",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ExistenceRasterToObjectLineBoolean(Tool2) BooleanAObjectLine(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectLine(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.04,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"Assuming the sport facilities are separated enough, the answer is still correct and without loss of quality",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ExistenceRasterToObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectPoint(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.05,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"Assuming the sport facilities are separated enough, the answer is still correct and without loss of quality",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectPointToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ExistenceRasterToObjectLineBoolean(Tool2) BooleanAObjectLine(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectLine(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.06,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"It doesn't use the attribute, so it is correct but admittedly a bit stupid",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) KernelDensity(Tool1) FieldRasterRatioA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioA(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointRatio(Tool2) ObjectPointRatioA(MemT2.0) [MemT2.0] <- (UsedT2.0) ObjectPointRatioA(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.07,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"It doesn't use the attribute, so it is correct but admittedly a bit stupid",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectPointToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectPoint(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.08,0.9.1,0.00,1.00,,Full,3.00,0.00,0.00,1.00,0.00,1.00,"It doesn't use the attribute, so it is correct but admittedly a bit stupid",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT2.0] <- (UsedT2.0) BooleanAObjectPoint(UsedT2.0) [MemT0.1] <- (UsedT2.1) LatticeVectorA(UsedT2.1) SpatialJoinCountTess(Tool3) CountALatticeVectorAERA(MemT3.0) [MemT3.0] <- (UsedT3.0) CountALatticeVectorAERA(UsedT3.0)
1.F.09,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,Correct assuming the reclassification classifies to TRUE if raster value is 0.,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) EuclideanDistanceObjectVector(Tool1) FieldRasterRatioAIRA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioAIRA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) ExistenceRasterToObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.10,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,Correct assuming the reclassification classifies to TRUE if raster value is 0.,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) EuclideanDistanceObjectVector(Tool1) FieldRasterRatioAIRA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioAIRA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) ExistenceRasterToObjectLineBoolean(Tool3) BooleanAObjectLine(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectLine(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
